datetime,energy,temp,feelslike,dew,humidity,response
2023-01-16T08:00:00,67.5,24.8,24.8,23.7,93.82,2
2023-01-16T09:00:00,131.2,26,26,24,88.74,2
2023-01-16T10:00:00,186.7,28,31.9,23.9,78.38,1
2023-01-16T11:00:00,223,29.3,33.9,23.9,72.73,2
2023-01-16T12:00:00,219.5,30.8,35.9,23.7,66.06,2
2023-01-16T13:00:00,202.7,31.1,34.8,22.2,59.22,2
2023-01-16T14:00:00,221.6,33.1,38.2,23.1,55.82,2
2023-01-16T15:00:00,204.64,33.1,39.1,23.8,58.25,2
2023-01-16T16:00:00,134.48,30.1,35.1,23.9,69.52,1
2023-01-16T17:00:00,124.75,28.9,33.6,24.2,75.66,1
2023-01-16T18:00:00,83.85,28,31.9,23.9,78.35,1
2023-01-16T19:00:00,66.17,27.1,29.6,22.8,77.48,1
2023-01-16T20:00:00,51.6,26.9,29.5,23.1,79.61,1
2023-01-16T21:00:00,39.9,27,30.1,24,83.69,1
2023-01-16T22:00:00,22.8,26.8,29.6,23.8,83.67,1
2023-01-16T23:00:00,17.6,26.8,29.7,24,84.8,1
2023-01-17T00:00:00,17.1,24.7,24.7,24.1,96.07,2
2023-01-17T01:00:00,17.5,23.1,23.1,23.1,99.96,2
2023-01-17T02:00:00,17.9,23.2,23.2,23,98.94,2
2023-01-17T03:00:00,14.1,23,23,23,99.95,2
2023-01-17T04:00:00,11.2,22.8,22.8,22.1,95.72,2
2023-01-17T05:00:00,10.6,22.8,22.8,22.2,96.38,2
2023-01-17T06:00:00,10.6,23,23,22.8,98.61,2
2023-01-17T07:00:00,17.4,22.8,22.8,22.1,95.72,2
2023-01-17T08:00:00,36.47,22.8,22.8,22.1,95.71,2
2023-01-17T09:00:00,105.51,24.1,24.1,23.8,98.24,2
2023-01-17T10:00:00,139.9,26,26,23.7,87.18,2
2023-01-17T11:00:00,141.5,28,31.2,22.9,73.74,1
2023-01-17T12:00:00,147.7,29.3,32.4,22.1,65.06,1
2023-01-17T13:00:00,155.1,30.7,34.1,21.9,59.31,1
2023-01-17T14:00:00,176.2,31.8,35.3,21.8,55.43,1
2023-01-17T15:00:00,172.1,30,35.2,24,70.34,1
2023-01-17T16:00:00,170,28,32,24,78.99,1
2023-01-17T17:00:00,150.3,28.1,32.1,24,78.79,1
2023-01-17T18:00:00,103.6,29,32.9,23.2,70.73,1
2023-01-17T19:00:00,83.3,27.8,31,23,75.44,1
2023-01-17T20:00:00,52.7,25.9,25.9,23.9,88.61,2
2023-01-17T21:00:00,44.3,25,25,23,88.58,2
2023-01-17T22:00:00,22.2,25.1,25.1,23.1,88.59,2
2023-01-17T23:00:00,20.1,25,25,23,88.63,2
2023-01-18T00:00:00,19.9,24.8,24.8,23.2,90.76,2
2023-01-18T01:00:00,17.6,25,25,23,88.66,2
2023-01-18T02:00:00,18.4,24.8,24.8,23,89.83,2
2023-01-18T03:00:00,19,24,24,23,94.07,2
2023-01-18T04:00:00,19.7,24,24,23,94.07,2
2023-01-18T05:00:00,19,23.8,23.8,22.9,94.68,2
2023-01-18T06:00:00,17.3,24.1,24.1,22.1,88.59,2
2023-01-18T07:00:00,25.3,24,24,22.1,88.88,2
2023-01-18T08:00:00,74.1,24,24,21.8,87.39,2
2023-01-18T09:00:00,113.3,26,26,22,78.64,2
2023-01-18T10:00:00,158.6,28.1,30.6,21.7,68.5,1
2023-01-18T11:00:00,161,29.8,32.4,21.2,59.96,1
2023-01-18T12:00:00,165.3,30.1,32.6,20.9,57.97,1
2023-01-18T13:00:00,160.9,31.1,33.9,21.2,55.7,1
2023-01-18T14:00:00,140.6,30.1,33.3,21.9,61.61,1
