Index,energy,temp,feelslike,dew,humidity,response
877,51.6,24.8,24.8,23.2,90.83,2
878,54.7,25,25,23.2,89.6,2
879,61.3,26,26,23.8,87.57,2
880,57.1,26.8,29.2,23,79.86,1
881,56.8,26.8,29.3,23.1,80.13,1
882,55.2,26.8,29.3,23.1,80.12,1
883,50,26,26,22,78.64,2
884,51.1,25.8,25.8,22.1,79.97,2
885,39.2,25.2,25.2,22.1,82.9,2
886,32.7,25.3,25.3,22,82.07,2
887,23.8,25,25,22,83.48,2
888,21,24,24,22.1,88.91,2
889,14.5,24,24,23,94.12,2
890,12.2,24,24,22,88.62,2
891,12.4,23.2,23.2,22.2,94.11,2
892,10.7,23,23,22.2,95.08,2
893,13.7,23,23,22,94.11,2
894,13,23.2,23.2,22.8,97.61,2
895,10.5,23,23,23,99.97,2
896,22.3,23.1,23.1,22.2,94.75,2
897,70.7,23.2,23.2,22.2,94.11,2
898,117.3,24.1,24.1,22.8,92.54,2
899,148.2,26.1,26.1,23,83.29,1
900,148.7,28.7,32.5,23.2,72,1
901,145.34,30.1,33.5,22.2,62.74,1
902,145.6,31.7,36.1,22.7,58.98,1
903,161.7,32.1,37.9,23.9,62.06,1
904,185.3,32.1,39.1,24.9,65.89,1
905,172.3,31.7,37.7,24.2,64.36,1
906,149.5,31,36.4,23.9,65.91,1
907,128,30.8,35.3,23.1,63.56,1
908,88.5,29.8,34.7,23.9,70.74,1
909,89,28.3,32.5,24.1,77.9,1
910,73.5,27.7,31.5,24.1,80.51,1
911,42.7,26.8,30,24.8,88.78,1
912,28.6,27,30.3,24.1,84.19,1
913,17.7,27.1,30.2,23.7,81.24,1
914,15.1,27,30,23.7,81.71,1
915,13.5,26.6,26.6,23.7,83.67,1
916,15.8,26,26,23.1,83.83,2
917,16,26,26,21.9,78.15,2
918,12.8,26,26,22.7,82.15,2
919,14.2,26,26,23,83.57,2
920,28,25.3,25.3,22.8,86.02,2
921,83,24.9,24.9,22.9,88.67,2
922,162.7,26.8,29.2,23,79.85,1
923,158.3,30,34.2,23,66.2,1
924,156.3,30.8,35.4,23.2,63.98,1
925,151.5,32,37.7,23.8,61.84,1
926,159.6,31.8,36.3,22.8,58.96,1
927,167.4,33.1,37,21.9,51.98,1
928,176.4,32,38.1,24.2,63.31,1
929,189.8,31.7,36.5,23.1,60.22,1
930,160.6,30.9,36.2,23.9,66.45,1
931,134.4,29,34.4,24.9,78.57,1
932,130.9,27.8,32.3,25,84.9,1
933,117.1,26.9,30.5,25.2,90.31,1
934,89,27,30.6,25,88.82,1
935,35.5,27,30.1,24,83.7,1
936,26.8,26,26,24.2,89.68,2
937,20,25.8,25.8,24.8,94.2,2
938,19.6,25.1,25.1,24.8,98.29,2
939,20.3,25.1,25.1,24.8,98.3,2
940,23.1,25,25,24.1,94.51,2
941,23.9,25,25,24,94.19,2
942,20.3,24.8,24.8,23.9,94.82,2
943,14.4,24.1,24.1,23,93.83,2
944,20.4,24,24,23.2,95.12,2
945,86.9,24.1,24.1,23.7,97.95,2
946,170.7,26,26,24.2,89.64,2
947,164.8,27.7,31.6,24.2,81.06,1
948,129.4,29.7,34.5,23.8,70.5,1
949,164.7,31.1,36.4,23.8,65.28,1
950,178.8,32,38.8,24.7,65.44,1
951,210,33,39.3,24.1,59.46,2
952,195.3,31.1,38.8,25.7,73.22,1
953,196.5,29.8,35.5,24.7,74.3,1
954,183.3,29.8,35.7,24.9,75.12,1
955,143,28.8,34,24.9,79.59,1
956,134.9,28.8,33.9,24.8,79.08,1
957,111,28.1,32.7,24.9,82.98,1
958,93,27.8,32.4,25.2,85.78,1
959,40.5,27.8,32.4,25.2,85.78,1
960,28.1,27.8,32.3,25,84.94,1
961,22.8,27,30.1,24.1,84.01,1
962,21.5,26.7,29.5,24,85.12,1
963,20.6,26.8,30,24.7,88.55,1
964,20,26,26,25,94.23,2
965,22,26,26,24.1,89.09,2
966,20.7,25.2,25.2,23.9,92.63,2
967,14.9,25,25,24,94.19,2
968,23.2,25,25,24,94.22,2
969,86.7,24.9,24.9,23.2,90.24,2
970,139.2,27.1,30.1,23.7,82.04,1
971,150.4,29,32.8,23.1,70.39,1
972,156.5,30.8,35.3,23.1,63.56,1
973,150.4,31.1,36.5,23.9,65.72,1
974,165.7,30.1,35.3,24.1,70.28,1
975,174,31,37.5,24.8,69.53,1
976,201.4,31.1,36.8,24.2,66.87,2
977,179.4,31.7,37.3,23.8,62.87,1
978,176,31,33.9,21.2,55.95,1
979,157.7,31,37.8,25,70.5,1
980,133.5,30,35.1,24,70.33,1
981,112.3,27.9,32.4,24.9,83.77,1
982,89.6,27.8,32.2,24.9,84.33,1
